,G_symbol,head1,head2,head3,head4,head5,head6,head7,head8,abs_mean
48,DSG2,-0.0008921519458992214,-0.00259061768239031,-0.00022660819519600448,0.004084389012557539,-0.000412594470350009,-0.0044368110450985,0.0003582339303597089,0.009433411261862349,0.0028043521929642054
49,PREX2,-0.0004782475570060373,0.008878306199838072,-3.240199924451439e-06,0.004452058368645843,0.0006761158924803499,0.0003936531153403357,0.0033187133887780974,-0.0037466049522041,0.002743367459277161
50,HDAC9,-0.00045126903506501656,-0.011466827990618782,-0.000897390099976597,-0.004874918590419443,0.0003647478064229035,-0.0037979536321342366,0.0021110315383989324,0.0070433350298431075,0.0038759342153598772
51,KITLG,0.0006458355639079491,-0.001401031236573814,0.0004877774159669831,0.00017172884653099386,-0.0009285445752913924,-0.006317970975494378,-0.0001245644439940691,0.004313493687439191,0.0017988683431498466
52,EPN3,-0.0006241658736072618,0.004522427603031389,-8.333035998836117e-05,0.008625013273897052,0.00036678184797623366,0.003565347056589158,0.00021140238756769812,-0.004860858725379301,0.002857415891004557
53,DKK3,0.0007781550980815903,-0.004638345191922717,0.0020126919244820777,0.013490194533755053,0.0005871363225393074,0.006823385275688886,-0.0005559784439600368,-0.004429708497556217,0.004164449410998236
54,RAD51,-0.0004195107805588606,0.0004838497293031263,-9.706599878815362e-05,0.002671972029731713,-0.0006315256603163992,0.0022454325811212088,-0.0011962896176711231,0.0033514008049333544,0.0013871309003029924
55,PIK3CB,0.00034833861382799474,-0.0027881813633759676,-0.00011014918274772765,0.001289253583211969,0.0007089674109173277,-0.0017392645859294104,-0.0002563961090571597,-0.004721553319013285,0.0014952630210101053
56,THRAP3,0.00020666442735119508,-0.007664477422178002,0.00017507974738716525,-0.00021899920233506336,-0.0006493139959257114,0.002608205115962864,-0.0006436496987598042,-0.006362099233734575,0.0023160611054542975
57,ZNF280C,-0.0003154699015085213,0.010522497314064872,0.0010499527684856595,0.008712218982152575,-6.550611838737955e-05,-0.0013934150708512772,7.538344410769289e-05,0.001076405825980332,0.002901356178192289
58,ATG5,-0.0041899712326085034,0.002039167093225374,0.0004739783317352409,0.013840441080229311,0.000902123937894428,0.0021045082371899688,0.000214964546286503,-0.0016870480163017649,0.0031815253094338867
59,U2AF2,-0.0009805610394992047,0.008847308791123536,0.0002848556680750741,0.0027132942024429172,0.0012793264487245635,0.0020049298635072695,-0.00045461117520423887,-0.0029307608575654177,0.0024369560057677774
60,EPN1,-0.00017344531572087744,0.004713832449452825,-0.0006844621423624692,-0.00396724260313422,-6.133141515257017e-05,-0.00202211872432122,-3.396197661141604e-05,0.0069731823824936865,0.0023286971261561604
61,CASP8,0.0030454535062256595,-0.0013024212066819576,0.003099532666496267,0.004799560217460582,-0.0020195418713759984,-0.009188564616703762,1.3924621456719247e-05,0.003593260883794763,0.0033827824487744637
62,NGFR,9.828062602978044e-05,-0.002982085785378236,-0.00018655628358166314,-0.006445491328712861,0.00043406208606509194,-0.0009030058117952917,0.0009629824721403293,-0.00019004563600180337,0.0015253137537131322
63,LPAR2,0.00040042407160519804,-0.005854709610129154,0.0002587232355868544,-0.0006398375674296986,-5.2248095277009764e-05,-0.0037124563787120294,0.0012934882323861582,0.0017226976946126214,0.0017418231107173407
64,OAT,-0.0009593349753588826,0.005127157105069832,-0.00030611227538444223,-0.004323285042887237,-0.0003346506706072954,0.0020267331213242377,0.0018601038965523166,0.0006327232305609243,0.001946262539718146
65,ERBB3,-0.0013094644626362117,0.0107084684230458,-0.0011213970453857198,0.003662932385520198,-0.0002948712450092957,0.0036829583042677664,0.00029554669851398157,-0.0014678348754388545,0.0028179341799772287
66,MAP2K4,5.577334230180989e-05,-0.0008001492858547199,-9.409053184656579e-05,0.011011799450909307,0.0008536190563553931,-0.006683767304158813,-0.0003026830931616839,0.0005124493576978021,0.002539291427785762
67,MTHFD2,0.0007671171734961271,0.018124720755592398,0.00037429298809553207,0.010793118276623031,0.0007578958778535433,-0.00480063917435245,0.0004589857540549068,-0.0036312343534296815,0.004963500544187209
68,ELAVL1,-0.002495654090155941,-0.0025676188304747188,8.945142306358028e-05,-0.0016192041027129395,-0.0004998616500757094,-0.0027948503357842374,0.00041596548107463506,0.0010626583145871454,0.0014431580284911133
69,POLR1H,-0.0010026965961149395,0.012586280250618205,-0.0008176891279951397,-0.0030437837310101964,-0.0011856753228951327,0.005931287274836937,-0.0005011461407428259,-0.004126068907032989,0.0036493284189057958
70,CLDN18,0.0007412352420847156,0.005725303116823715,0.0019274314818116898,0.001988312494380932,0.0013089298565444182,-0.0005219372200945856,-0.0001480440212999637,-0.005176559995951133,0.002192219178623894
71,ATXN3,0.001762522680119139,-0.0023413410377974564,-0.0005631845264786724,-0.00995116797938158,0.0008636220232943614,-0.005984375555914479,0.001654460935725377,-1.98918487261912e-06,0.0028903329904479604
72,FGFR2,-0.0003057500203489538,0.003102705666596228,-0.0005589970618104237,0.0076066400075235395,-0.0003247516478237782,-0.002763304970629529,-0.00047156944269610923,0.0062216481870541115,0.0026694208755603343
73,KLF6,0.0011785516685297638,0.003251520281035743,4.756567095970743e-06,0.0014543840011078874,0.0013333878552556908,0.0011695239433312345,0.0008952800503027989,-0.0048029361595384665,0.0017612925657746945
74,TNFRSF1A,0.0008902385794559213,0.0012719817340377101,9.643367504209297e-06,0.0022974830175133036,0.0009447994839095172,0.0011904305430770557,0.0034724146310250075,-0.007008679242674621,0.002135708824899668
75,RHOA,0.00015916041687454765,0.005120263891870947,-0.0015430055537631062,0.0029093183500853185,3.7939276011197395e-05,0.0011019476151265205,0.003873313331496474,-0.005506850414392405,0.0025314748562025643
76,PRKCZ,0.000568097280406066,-0.007994012567014461,0.00032642621534832413,-0.00552534634954672,0.0020445248802335382,0.001002111780074195,-0.0012361701438027362,0.001761680328728624,0.002557296193144333
77,CBFB,-0.00030749658475629616,-0.007601193614787526,0.001968291916052848,-0.0059608998183314325,-0.00021144171913473685,0.010755423049525627,-6.12458180921631e-05,-0.012274245950648948,0.0048925298089161975
78,HDAC4,0.001213382967984838,-0.0009437255070324972,-0.0011417419755874137,-0.004526246929850774,-0.0007228496657083205,-0.005909405798042497,-0.0017478768480636037,0.00737762028725735,0.002947856247440912
79,RASSF1,-0.0019735712229567272,-0.0008114666182108135,0.0004192103850491745,0.00825420867083443,-0.0004459976250095969,-0.00461183654677648,-0.0002829834202951304,0.003459743885076492,0.002532377296776106
80,FGFR3,0.0007574440352504563,0.013147132769407129,-0.00047662494917077885,-0.002081915065628463,-0.0004866768058639059,-0.0027335523623925845,0.0007547205310490356,0.0010803835533456244,0.0026898062590134976
81,OTUD5,-0.0006319745531832553,6.515158552776715e-05,-0.0005345791120402369,0.0017644790573738015,-0.0012204935894305116,0.0028096450250362074,-1.997536876265284e-05,0.0030714381012673657,0.0012647170490777248
82,SIRT2,0.0015789652850681723,0.014808204001813333,0.0020166968238749753,0.01567386204612269,0.001513564253137248,-0.007556240617873885,0.0005721710297356717,-0.003402421741891186,0.005890265724939645
83,GAL,-0.0004780784782969906,0.009440340159381378,0.0008688383064646138,0.011721535434971371,-0.0012951705558293695,0.00789046758012008,-0.00129848866806108,0.00013345294940661666,0.004140796516566438
84,RORA,0.002363027242143897,0.0065394980018531855,0.0017546587790817267,0.009775793870417562,-0.0005069679745579672,0.0025208653498079007,-0.003872912198561633,-0.005434574376361001,0.004096037224098109
